Date,Open,High,Low,Close,Volume,Tomorrow,Target,Close_Ratio_2,Trend_2,Close_Ratio_5,Trend_5,Close_Ratio_60,Trend_60,Close_Ratio_250,Trend_250,Close_Ratio_1000,Trend_1000
1993-12-14 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-15 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-16 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-17 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-20 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-21 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-22 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-23 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-27 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-28 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-29 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-30 00:00:00-05:00,,,,,,,,,,,,,,,,,
1993-12-31 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-03 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-04 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-05 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-06 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-07 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-10 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-11 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-12 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-13 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-14 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-17 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-18 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-19 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-20 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-21 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-24 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-25 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-26 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-27 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-28 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-01-31 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-01 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-02 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-03 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-04 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-07 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-08 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-09 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-10 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-11 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-14 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-15 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-16 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-17 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-18 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-22 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-23 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-24 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-25 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-02-28 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-01 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-02 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-03 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-04 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-07 00:00:00-05:00,,,,,,,,,,,,,,,,,
1994-03-08 00:00:00-05:00,,,,,,,,,,,,,,,,,
